"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
925,"32320",Decorticacion y pleurectomía parietal,"492.65","493.21"
926,"32400","Biopsia, pleura; aguja percutánea","21.3","21.42"
927,"32405","Biopsia, pulmon o mediastino, aguja percutánea","42.58","43.84"
928,"32420",Pneumonocentesis; Punción de pulmon para aspiración,"53.98","56.74"
929,"32421","Toracocentesis, para aspiración, primera vez o subsecuente",N/C,"30.16"
930,"32422","Drenaje toracico con tubo de drenaje, incluye sistema de sello bajo agua (p. ej. neumotorax)",N/C,"191.84"
931,"32440",Neumonectomía total,N/C,"383.34"
932,"32442",Neumonectomía total con Resección de segmento de tráquea seguido de anastomosis broncotraqueal,N/C,"410"
933,"32480",Lobectomía pulmonar,N/C,"385.86"
934,"32482",Bilobectomía pulmonar,"385.44","385.86"
935,"32484",Segmentectomía pulmonar,"392.31","392.87"
936,"32540",Enucleación extrapleural de empiema (empiemectomía),"397.44","397.72"
937,"32551","Toracostomía con tubo, incluye conexión a sistema de drenaje (p ej sello de agua), cuando se realice abierto (procedimiento separado)","30.8","30.84"
938,"32554","Toracocentesis, con aguja o catéter, aspiración del espacio pleural; sin guía de imágenes","466.5","466.5"
939,"32555","Toracocentesis, con aguja o catéter, aspiración del espacio pleural; con guía de imágenes","466.5","466.5"
940,"32601","Toracoscopia diagnóstica de pulmones, saco pericárdico, mediastino o espacio pleural, sin biopsia (procedimiento separado)","77.97","78.54"
941,"32608","Toracoscopia, con biopsia(s) diagnostica(s) de nodulo(s) o masa(s) pulmonar(es) (p. ej. cuña, incisional) unilateral",N/C,"193.82"
942,"32650","Toracoscopia quirúrgica, con pleurodesis (p ej Mecánica o química)","161.63","162.52"
943,"32662.01",Escision de tumor mediastinico por toracoscopia con asistencia robotica,,"140.318273682668"
944,"32663",Lobectomia (lobulo unico) por toracoscopia,N/C,"194.43"
945,"32663.01",Lobectomia pulmonar por toracoscopia con asistencia robotica,,"140.318273682668"
946,"32669.01",Segmentectomia pulmonar por toracoscopia con asistencia robotica,,"140.318273682668"
947,"32670","Toracoscopia quirurgica, con retiro de dos lobulos (bilobectomia)",N/C,"194.43"
948,"32670.01",Bilobectomia pulmonar por toracoscopia con asistencia robotica,,"137.912047987457"
949,"32671","Toracoscopia quirurgica, con remocion pulmonar (neumonectomia)",N/C,"194.43"
950,"32674.01",Linfadenectomia intratoracica mediastinal y regional por toracoscopia con asistencia robotica,,"140.318273682668"
951,"32800",Cura quirúrgica de hernia pulmonar a través de la pared torácica,"349.83","349.98"
952,"32815",Cierre abierto de fístula bronquial mayor,N/C,"383.34"
953,"32820",Reconstrucción mayor de pared torácica (postraumática),"397.44","397.72"
954,"32900","Resección de costillas, extrapleural, todos los niveles","349.83","349.98"
955,"32905","Toracoplastía, tipo Schede o extrapleural (todos los niveles)","397.44","397.72"
956,"32960","Inyección intrapleural de aire, Neumotorax terapéutico","30.38","30.41"
957,"33010",Pericardiocentesis inicial,"30.62","30.66"
958,"33015",Pericardiostomía de tubo,"275.31","275.5"
959,"33020",Pericardiotomía para Extirpación de coágulo o cuerpo extraño (procedimiento primario),"299.45","299.73"
960,"33025",Creación de ventana pericárdica o Resección parcial para drenaje por via transtorácica,N/C,"291.99"
961,"33030","Pericardiectomía parcial o completa, sin circulación extracorporea","323.59","323.96"
962,"33050",Escisión de quiste o tumor pericárdico,"445.05","445.47"
963,"33120","Escisión de tumor intracardíaco, resección con derivación cardiopulmonar",N/C,"493.47"
964,"33130",Resección de tumor cardíaco externo,"381.35","382.08"
965,"33206",Inserción de marcapaso permanente nuevo o de reemplazo con electrodo(s) transvenoso(s) a nivel auricular,"207.49","207.54"
966,"33207",Inserción de marcapaso permanente nuevo o de reemplazo con electrodo(s) transvenoso(s) a nivel ventricular,"207.49","207.54"
967,"33208",Inserción de marcapaso permanente nuevo o de reemplazo con electrodo(s) transvenoso(s) a nivel auricular y ventricular,"207.49","207.54"
968,"33210",Inserción o reemplazo de electrodo o catéter marcapasos cardiaco transvenoso temporal de cámara única (procedimiento separado),"207.49","207.54"
969,"33250","Ablación quirúrgica de foco o vía, tracto(s) (ej síndrome de Wolff-Parkinson-White, reentrada de un nodo A-V) y/o foco(s) arritmogénicos supraventricular(es); sin derivación cardiopulmonar","240.6","240.81"
970,"33300",Corrección de lesión cardíaca; sin derivación cardiopulmonar,"384.3","384.69"
971,"33305",Corrección de lesión cardíaca; con derivación cardiopulmonar,N/C,"548.97"
972,"33310","Cardiotomía exploradora via transtorácica (incluye Extirpación de cuerpo extraño, trombos instracoronarios auriculares o ventriculares); sin derivación cardiopulmonar","397.44","397.72"
973,"33320","Reparación de la aorta o grandes vasos, sin shunt ni derivación cardio-pulmonar",N/C,"493.47"
974,"33322","Reparación de la aorta o grandes vasos, con derivación cardio-pulmonar",N/C,"565.96"
975,"33330","Colocación de injerto en la aorta o grandes vasos, sin shunt ni derivación cardio-pulmonar",N/C,"397.67"
976,"33400","Valvuloplastía, válvula aortica; abierta, con derivación cardiopulmonar","393.07","393.07"
977,"33404",Construcción de un conducto apical aórtico,N/C,"498.01"
978,"33405","Reemplazo de válvula aortica, con derivación cardiopulmonar; con válvula protésica que no sea homoinjerto o válvula sin soporte","481.19","481.19"
979,"33414",Corrección de obstrucción de la vía de flujo de salida de ventrículo izquierdo mediante alargamiento de tracto de salida con parche,N/C,"548.97"
980,"33415",Resección o Incisión de tejido subvalvular por estenosis aortica subvalvular discreta,N/C,"548.97"
981,"33416",Ventriculomiotomía (-miectomía) por estenosis subaortica hipertrofica idiopática (p ej Hipetrofia septal asimétrica),N/C,"543.3"
982,"33417",Aortoplastía (placa) por estenosis supravalvular,N/C,"543.3"
983,"33420","Valvulotomía, válvula mitral; a corazon cerrado",N/C,"393.33"
984,"33422","Valvulotomía mitral a corazon abierto, con derivación cardiopulmonar",N/C,"443.64"
985,"33425","Valvuloplastía, válvula mitral, con derivación cardiopulmonar","304.95","304.95"
986,"33430","Reemplazo, válvula mitral, con derivación cardiopulmonar","393.07","393.07"
987,"33460","Valvectomía, válvula tricúspide, con derivación cardiopulmonar","304.95","304.95"
988,"33463","Valvuloplastía, válvula tricúspide; sin Inserción de anillo","304.95","304.95"
989,"33465","Reemplazo de válvula tricúspide, con derivación cardiopulmonar","393.07","393.07"
990,"33468",Reposicionamiento y pliegue de la válvula tricúspide por enfermedad de Ebstein,"393.07","393.07"
991,"33470","Valvulotomía, válvula pulmonar, a corazon cerrado; transventricular","153.35","153.35"
992,"33474","Valvulotomía, válvula pulmonar, a corazon abierto; con derivación cardiopulmonar","304.95","304.95"
993,"33475","Reemplazo, válvula pulmonar","304.95","304.95"
994,"33478","Aumento de la vía de flujo de salida (placa), con o sin comisurotomía o Resección infundibular",N/C,"443.64"
995,"33500",Corrección de fístula arteriovenosa coronaria o de fístula de arteria con cámara cardíaca; con derivación cardiopulmonar,N/C,"443.64"
996,"33502",Corrección de arteria coronaria anomala que nace de la arteria pulmonar mediante ligadura,N/C,"384.04"
997,"33504","Corrección de arteria coronaria anomala que nace de la arteria pulmonar mediante injerto, con derivación cardiopulmonar",N/C,"493.47"
998,"33510",Derivación de arteria coronaria usando un injerto venoso coronario,N/C,"384.04"
999,"33511",Derivación de arteria coronaria usando 2 injertos venosos coronarios,N/C,"384.04"
1000,"33512",Derivación de arteria coronaria usando 3 injertos venosos coronarios,N/C,"384.04"
1001,"33513",Derivación de arteria coronaria usando 4 injertos venosos coronarios,N/C,"407.9"
1002,"33514",Derivación de arteria coronaria usando 5 injertos venosos coronarios,N/C,"407.9"
1003,"33516",Derivación de arteria coronaria usando 6 o más injertos venosos coronarios,N/C,"407.9"
1004,"33542",Resección miocárdica (pej: aneurismectomia ventricular),N/C,"599.94"
1005,"33545","Corrección de defecto del tabique ventricular post-infarto, con o sin Resección miocárdica",N/C,"599.94"
1006,"33572","Endarterectomía coronaria, abierta, por cualquier método, de descendene anterior izquierda, circunfleja, o arteria coronaria derecha, que se realiza conjuntamente con procedimiento de derivación de arteria coronaria, cada vaso (registrar separadamente además del código del procedimiento primario)",N/C,"443.64"
1007,"33600",Cierre de válvula auriculoventricular (mitral o tricúspide) mediante sutura o parche,N/C,"501.21"
1008,"33641","Corrección de defecto del tabique auricular, tipo secundum, con o sin parche, con derivación cardiopulmonar",N/C,"443.64"
1009,"33735",Septectomía o Septostomía Auricular a corazon cerrado (procedimiento de Blalock-Hanlon),N/C,"374.94"
1010,"33736",Septectomía o Septostomía Auricular a corazon abierto con derivación cardiopulmonar,N/C,"384.04"
1011,"33750",Cortocircuito de arteria subclavia a arteria pulmonar (Operación de Blalock-Taussig),N/C,"443.64"
1012,"33786",Corrección total del tronco arterioso (Operación de Rastelli),N/C,"501.21"
1013,"33788",Reimplantación de arteria pulmonar anomala,N/C,"493.47"
1014,"33924","Ligadura y desmontado de cortocircuito sistémico hacia la arteria pulmonar, realizado conjuntamente con cirugía correctiva de defecto congénito cardíaco (registrar separadamente además del código de procedimiento primario)",N/C,"493.47"
1015,"33977","Remoción de dispositivo de asistencia ventricular mecánica extracorporeo, un solo ventrículo",N/C,"401.55"
1016,"34001","Embolectomía o trombectomía, con o sin catéter; de la arteria subclavia o arteria innominada, mediante Incisión en el cuello",N/C,"268.46"
1017,"34151","Embolectomía o trombectomía, con o sin catéter, de la arteria renal, celíaca, mesentérica, aortoilíaca, mediante Incisión abdominal",N/C,"374.46"
1018,"34401","Trombectomía, directa o con catéter, de las venas cava o iliaca mediante Incisión abdominal",N/C,"259.39"
1019,"34501",Valvuloplastía de vena femoral,N/C,"277.84"
1020,"34502","Reconstrucción de vena cava, cualquier método",N/C,"393.81"
1021,"34510","Transposición de válvula venosa, cualquier vena donante",N/C,"296.02"
1022,"34530",Anastomosis venosa safenopoplítea,"214.97","215.69"
1023,"35001","Corrección directa de aneurisma, aneurisma, o Escisión (parcial o total) e Inserción de injerto (con o sin injerto de parche) en arteria carotida o arteria subclavia por aneurisma y enfermedad oclusiva asociada, mediante Incisión en el cuello",N/C,"384.04"
1024,"35021","Corrección directa de aneurisma, aneurisma, o Escisión (parcial o total) e Inserción de injerto (con o sin injerto de parche) en subclavia o arteria innominada por aneurisma, seudoaneurisma y enfermedad oclusiva asociada mediante Incisión torácica",N/C,"374.94"
1026,"35180",Corrección de fístula arteriovenosa congénita en cabeza y cuello,"385.44","385.86"
1027,"35182",Corrección de fístula arteriovenosa congénita en torax y abdomen,"385.44","385.86"
1028,"35184",Reparación de fístula arteriovenosa congénita en extremidades,"281.46","281.75"
1029,"35201",Sutura directa de vaso sanguíneo; cuello,"281.46","281.75"
1025,"35081","Corrección directa de aneurisma, aneurisma, o Escisión (parcial o total) e Inserción de injerto (con o sin injerto de parche) en arteria aortica abdominal por aneurisma, seudoaneurisma y enfermedad oclusiva asociada",N/C,"384.04"
1030,"35216",Sutura directa de vaso sanguíneo intratorácico sin derivación,N/C,"443.64"
1031,"35231","Sutura de vaso sanguíneo con injerto venoso, en cuello","288.33","288.75"
1032,"35241",Reparación de vaso sanguíneo intratorácico con injerto venoso con derivación,N/C,"443.64"
1033,"35301","Tromboendarterectomía incluyendo parche de injerto, si se realizara, de la arteria carotida, vertebral o subclavia mediante Incisión en el cuello",N/C,"286.93"
1034,"35331","Tromboendarterectomía, incluyendo parche de injerto, si se realizara, de arteria aorta abdominal",N/C,"501.21"
1035,"35452",Angioplastía abierta con balón transluminal de arteria aorta,N/C,"399.83"
1036,"35470",Angioplastía con balón transluminal percutánea,N/C,"380.5"
1037,"35480","Aterectomía periférica transluminal, abierta",N/C,"283.85"
1038,"35490","Aterectomía periférica transluminal, percutánea",N/C,"283.85"
1039,"35526",Derivación sanguínea con injerto de vena entre la arteria aorta y la arteria subclavia o la arteria carotida,N/C,"445.47"
1040,"35531",Derivación sanguínea con injerto de vena entre la arteria aorta y la arteria celíaca o entre la arteria aorta y la arteria mesentérica,"399.19","399.87"
1041,"35541",By-pass Aorto - iliaco o biiliaco,"303.81","304"
1042,"35546",By-pass Aorto-femoral o bifemoral,"303.81","304"
1043,"35556",Derivación sanguínea con injerto de vena entre la arteria femoral y la arteria poplitea,"420.16","420.88"
1044,"35691",Transposición y/o reimplante de la arteria vertebral hacia la arteria carotida,"288.33","288.75"
1045,"35700","Reoperación a nivel de arterias femoral- poplítea o femoral (poplítea)-tibial anterior, tibial posterior, peronea, u otros vasos distales más allá de 1 mes posterior a la Operación original (registrar separadamente además del código de procedimiento primario)","173.18","173.79"
1046,"36000",Introducción de aguja o catéter en vena periférica,N/C,"1.37"
1047,"36415",Colección de sangre venosa por venipuntura,N/C,"2.84"
1048,"36416","Coleccion de sangre capilar (p ej dedo, talon u oreja)","1.06","1.06"
